estLocus,Nomen,Textus,LEMMA,LOCI NOMEN,AETATIS CITE URN,ANNOTATOR INITIALS,CTS URN,SEQUENCE,NČ OP.
estlocus1,Heliconis,Siue desertis Heliconis undis,Helicon,Helicon M.,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text5.body.div25.l19.w3,1080766,
estlocus1,Heliconis,Quid Phoebum Musasque uocas Heliconis ab antro,Helicon,Helicon M. ,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text5.body.div4.l1.w5,1076912,
estlocus4,Pyerium,Pyerium quotiens scribere sumis opus?,Pierius,Pierian Mountains,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text5.body.div4.l2.w1,1076927,
estlocus1,Tempe,Hęc illis iocunda domus: non Tempe lacusque,Tempe,Tempe,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text5.body.div4.l5.w6,1077038,
estlocus2,Bellorophonteos,Bellorophonteos plus pia turba colit.,Bellorophonteus,Hippocrene,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text5.body.div4.l6.w1,1077049,
estlocus4,Dalmaticum,"Xarcus, Dalmaticum gloria prima ducum.",Dalmaticus,Dalmatia,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text6.body.div15.l4.w2,1085827,Ova Dalmatia je Renesansa Italy*
estlocus4,Turcarum,Turcarum rigido fugare Marte.,Turcae,Ottoman Empire,38000,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text6.body.div16.l3.w1,1086028,
estlocus4,Turcarum,"Epitaphium Ottomani, Turcarum imperatoris",Turcae,Ottoman Empire,38000,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text6.body.div18.head.w3,1086336,
estlocus1,Arar,"Cuius sensit Arar, cuius certamina Tygris,",Arar,Arar (river),11111,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text6.body.div18.l1.w3,1086355,U smislu Zapad.*
estlocus1,Tygris,"Cuius sensit Arar, cuius certamina Tygris,",Tigris,Tigris/Diglitus (river),11111,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text6.body.div18.l1.w6,1086371,U smislu Istok.*
estlocus4,Venetorum,"Epitaphium Leonardi Lauredani, inclyti Venetorum principis",Veneti,Venice,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text6.body.div19.head.w5,1086554,
estlocus4,Spalatensis,Epitaphium Luxę de Bilsa Spalatensis,Spalatensis,Spalatum,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text6.body.div21.head.w5,1086968,
estlocus4,Spalatensis,Epitaphium Hieronymi de Lucaris Spalatensis,Spalatensis,Spalatum,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text6.body.div23.head.w5,1087339,
estlocus4,Graię,"Et Latię et Graię callebat Palladis artes,",Graius,Ancient Greece,00001,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text6.body.div25.l9.w4,1088182,***
estlocus2,Phlegetontei,Ad Phlegetontei stagna profunda lacus.,Phlegethonteus,Phlegethon,00001,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text6.body.div4.l2.w2,1083312,Od kad je nastao pa do danas (smisao: pakao).*
estlocus4,Tyrio,"Possidet hanc Tyrio uelatus Luxus amictu,",Tyrius,Tyrus/Col. Septimia Severa,00001,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text6.body.div4.l3.w3,1083342,Od antike do danas.*
estlocus4,Spalatenses,Ad nobiles Spalatenses,Spalatensis,Spalatum,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text6.body.div5.head.w3,1083813,
estlocus2,Valle,Francisco Natali Marci Maruli in Valle Surda commorantis responsio,vallis,Nečujam,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text7.body.div1.head.w6,1088830,
estlocus2,Surda,Francisco Natali Marci Maruli in Valle Surda commorantis responsio,surdus,Nečujam,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text7.body.div1.head.w7,1088835,
estlocus4,Samnitum,Et qua contentus Samnitum sperneret aurum,Samnites,Samnium,38009,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text7.body.div1.l27.w4,1089601,
estlocus2,Pegasis,Deseruitque meam Pegasis unda sitim.,Pegasis,Hippocrene,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text7.body.div2.l20.w3,1092061,
estlocus4,Getulos,"Illa etiam Getulos uicit feritate leones,",Gaetulus,Getulia,00001,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text7.body.div3.l13.w3,1092716,Od rimske književnosti do danas?*
estlocus4,Hyrcanas,Vicit et Hyrcanas asperitate tygres.,Hyrcanus,Varkana/Hyrcania/Gurgan,00001,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text7.body.div3.l14.w3,1092746,Od rimske književnosti do danas?*
estlocus4,Gargaphiam,Gargaphiam uidit qui sine ueste deam!,Gargaphius,Gargaphia,09003,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text7.body.div3.l18.w1,1092872,To je Artemida
estlocus4,Hesperidumque,"Hesperidumque magis, Fusce, dracone uigil.",Hesperides,Hesperidum Horti,09904,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text7.body.div3.l8.w1,1092547,Ili 00001?*
estlocus1,Pergama,Non uersa in cineres uidisset Pergama si non,Pergama,Ilium/Troia,09905,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text7.body.div5.l21.w6,1094832,
estlocus1,Tartara,Diffindens terras Tartara et ima ciens.,Tartara,Tartarus,00001,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div1.sp14.l36.w3,1097264,Ili 11111?*
estlocus1,Olympi,Stelliferi nobis aditus reserabit Olympi.,Olympus,sky (celestial dome),11111,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div2.l117.w5,1101408,
estlocus1,Olympum,Sydereum circum curru uectatus Olympum,Olympus,sky (celestial dome),11111,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div2.l29.w5,1098682,
estlocus3,Euros,Et quibus immites tectus lare temneret Euros,Eurus,"Southeast wind, one of eight directions",00000,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div2.l40.w7,1099010,Ili 00001?*
estlocus4,Oceanusque,"Oceanusque parens animantum squamigerarum,",Oceanus,ocean,00001,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div2.l46.w1,1099162,
estlocus2 ,Erithręi,"Tum, quem Erithręi felicibus ęquoris undis",Erythraeus ,"Persicus Sinus/Erythr(ae)um Mare 
",00001,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div2.l82.w3,1100220,
estlocus1,Indus,"Tum uarii, quos Indus habet, micuere lapilli,",Indus,Indus/Sinthos/Phison (river),00001,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div2.l85.w4,1100304,
estlocus4,Spalatensis,In natalitio Sancti Raynerii archiepiscopi Spalatensis pro iure ecclesię tuendo interempti martyrioque coronati hymnus,Spalatensis,Spalatum,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div3.head.w6,1101444,
estlocus4,Spalatina,"Gaudeat felix Spalatina plebes,",Spalatinus,Spalatum,12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div3.l13.w3,1101721,
estlocus1,Orcum,Corruit Orcum.,Orcus,underworld,38010,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div3.l24.w2,1101961,
estlocus1,Myrrheę,Atque hinc Myrrheę pręsul uenerabilis urbi,Myrrha,Myra,38011,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div4.l5.w3,1102360,
estlocus1,Solymas,Ipse sed eiectus Solymas post terga reliquit,Solymae,Ierusalem/Hierosolyma/Col. Aelia Capitolina ,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div1.l11.w4,1102901,
estlocus1,Lyddam,Hinc Lyddam ueniens Aeneam curat hiantem,Lydda,Lydda/Diospolis/Georgioupolis,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div1.l19.w2,1103123,
estlocus1,Ioppe,Tabitha mox Ioppe fato collapsa resurgit,Joppe,Ioppe,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div1.l21.w3,1103183,
estlocus1,Cęsareę,Post hęc Cęsareę Cornelius incipit illi,Caesarea,Stratonos Pyrgos /Caesarea,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div1.l23.w3,1103239,
estlocus4,sanctam,"Inde abiens Petrus sanctam remeauit ad urbem,",sanctus,Ierusalem/Hierosolyma/Col. Aelia Capitolina ,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div1.l25.w4,1103291,
estlocus4,urbem,"Inde abiens Petrus sanctam remeauit ad urbem,",urbs,Ierusalem/Hierosolyma/Col. Aelia Capitolina ,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div1.l25.w7,1103304,
estlocus1,Romam,Perrexit Romam magiaque dolisque Symonem,Roma,Roma,38832,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div1.l29.w2,1103406,
estlocus1,Romę,Tum demum lustris Romę iam quinque peractis,Roma,Roma,38832,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div1.l33.w4,1103538,
estlocus1,Babilonia,Inter quos etiam regem Babilonia cuius ,Babylonia,Babylonia,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div10.l11.w5,1111318,*?
estlocus1,Senarię,"At postquam est urbis Senarię ad moenia uentum,",Senaria,Senair or Suanir,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div10.l15.w5,1111435,*?
estlocus1,Mediam,Thadeus in Mediam Domino mandante recedens,Media,Media,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div10.l3.w3,1111073,
estlocus1,Tygris,Tygris et Euphratis quę cohibetur aquis.,Tigris,Tigris/Diglitus (river),38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div10.l6.w1,1111143,
estlocus1,Euphratis,Tygris et Euphratis quę cohibetur aquis.,Euphrates,Euphrates,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div10.l6.w3,1111152,
estlocus1,Ponti,Instruit et populos rapidi qui littora Ponti,Pontus,Pontus Euxinus,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div10.l7.w7,1111198,
estlocus1,Asię,"Longa tenent, Asię qui quoque rura colunt.",Asia,Asia,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div10.l8.w3,1111216,
estlocus1,Persidis,Persidis hinc terras peragrant cum fratre Symone,Persis,Persia,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div10.l9.w1,1111242,
estlocus1,Bethlemi,Iste tribus Iudę Bethlemi natus in urbe,Bethlemum,Bethlehem,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div11.l1.w4,1111752,
estlocus4,Romano,Sunt quoque qui dicant Romano more securi,Romanus,Roma,38003,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div11.l11.w5,1112051,
estlocus1,Romam,"Ossa prius Romam, Treuerim translata deinde:",Roma,Roma,38003,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div11.l13.w3,1112096,
estlocus1,Treuerim,"Ossa prius Romam, Treuerim translata deinde:",Treveris,Trier,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div11.l13.w4,1112104,
estlocus2,Iudea,Explicat hic Christi Iudea per oppida leges,Judaeus,Judea,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div11.l7.w4,1111931,
estlocus1,Cypri,Conuerso demum Paulo proconsule Cypri,Cyprus,Cyprus,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div12.l13.w5,1112560,
estlocus1,Iudeę,"Ciuis erat quondam Iudeę Giscalis urbis,",Judaea,Judea,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div12.l3.w4,1112260,
estlocus1,Giscalis,"Ciuis erat quondam Iudeę Giscalis urbis,",Giscalis,Gischala,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div12.l3.w5,1112265,
estlocus1,Cypri,Post hęc Barnabas Cypri docet et Salaminis,Cyprus,Cyprus,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div13.l25.w4,1114275,
estlocus1,Salaminis,Post hęc Barnabas Cypri docet et Salaminis,Salamis,Salamis (island),38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div13.l25.w7,1114288,
estlocus1,Salaminę,Hunc Salaminę gens tandem impia Iudeorum,Salamina,Salamis (island),38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div13.l29.w2,1114382,
estlocus1,Tharso,Hic collega datus Paulo fuit urbeque Tharso,Tarsus,Tarsus/Antiochia ad Cydnum,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div13.l3.w7,1113649,
estlocus4,Antiochus,"Adueniunt ipsam Antiochus quam condidit urbem,",Antiochus,Antiochia/Theoupolis,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div13.l5.w3,1113693,
estlocus1,Lystris,"Cumque forent Lystris, ingentibus omnia factis",Lystra,Lystra/Col. Iulia Felix Gemina,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div13.l9.w3,1113819,
estlocus1,Patrarum,Iste necem tandem Patrarum passus in urbe,Patrae,Patra(e),38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div2.l25.w4,1104546,
estlocus1,Achaię,Achaię populos docuit; mox ponere iussit,Achaia,Achaea,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div2.l3.w1,1103930,
estlocus2,Scythica,Audax in Scythica docuit regione Philippus,Scythicus,Scythia,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div3.l1.w3,1104650,
estlocus2,Asiacis,Finibus Asiacis se positurus abit,Asiacus,Asia,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div3.l20.w2,1105184,
estlocus1,Hieropoli,Hieropoli Phrygię post hęc comprensus in urbe,Hieropolis,Hierapolis,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div3.l23.w1,1105261,
estlocus1,Phrygię,Hieropoli Phrygię post hęc comprensus in urbe,Phrygia,Phrygia,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div3.l23.w2,1105266,
estlocus4,Martis,Ducitur ad Martis templa prophana dei.,Mars,Templa Martis in Scythia,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div3.l4.w3,1104733,
estlocus1,Armenię,Impiger Armenię protinus arua petit.,Armenia,Armenia,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div4.l20.w2,1105991,
estlocus1,Albanum,Albanum ueniens patitur tormenta tyranni,Albanum,Albanopolis,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div4.l21.w1,1106013,Ovaj Albanum promijeniti locus id*
estlocus1,Lycaonię,Rura Lycaonię celeri percurrere gressu,Lycaonia,Lycaonia,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div4.l5.w2,1105603,
estlocus1,Hispania,Post hęc occisi rapuit Hispania corpus:,Hispania,Hispania,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div5.l19.w5,1106755,
estlocus3,Hispanos,"Transit ad Hispanos atque his monstrauit Iesum,",Hispani,Hispania,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div5.l5.w3,1106350,
estlocus1,Ephesum,"Inde Ephesum rediens Drusianam suscitat, ipsum",Ephesus,Ephesus/Arsinoe(ia),38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div6.l11.w2,1107143,
estlocus4,Dianę,"Post hęc orando subuertit templa Dianę,",Diana,Temple of Artemis,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div6.l31.w6,1107729,
estlocus1,Asię,Vnus cuncta Asię sacra sacella regens.,Asia,Asia,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div6.l40.w3,1107960,
estlocus1,Epheso,Ex Epheso Romam tractus feruente nequiuit,Ephesus,Ephesus/Arsinoe(ia),38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div6.l7.w2,1107022,
estlocus1,Romam,Ex Epheso Romam tractus feruente nequiuit,Roma,Roma,38832,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div6.l7.w3,1107027,
estlocus1,Pathmo,"Exulat in Pathmo, cecinit tunc multa futura",Patmos,Patmos (island),38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div6.l9.w3,1107092,
estlocus1,Edessa,"Vrbs Edessa quidem corpus ueneratur et ossa,",Edessa,Edessa/Antiochia ad Callirhoem,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div7.l31.w2,1108995,
estlocus3,Indos,"Sed, magis extremos postquam transiuit ad Indos,",Indi,India,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div7.l7.w7,1108281,
estlocus1,Persidis,Illinc exactos Persidis ora tulit.,Persis,Persia,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div8.l12.w3,1109399,
estlocus1,Iudea,Hic in Iudea doctrinę semina sanctę,Judaea,Judea,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div8.l3.w3,1109155,
estlocus2,Macedum,In Macedum campos sparsit et Ęthiopum.,Macedae,Macedonia,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div8.l4.w2,1109178,
estlocus1,Nadabar,Metropolis Nadabar circumdata moenibus altis,Nadabar,Naddabar or Naddaver,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div5.div8.l5.w2,1109209,Nepoznato mjesto navodne mučeničke smrti sv. Mateja (Etiopija u Maloj Aziji)
estlocus1,Delmatię,Delmatię lętis olim generatus in oris,Delmatia,Dalmatia,38012,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div6.div1.l1.w1,1114568,
estlocus1,Latium,"Nam Latium linquens Syrię deserta petisti,",Latium,Latium,38832,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div6.div1.l23.w2,1115205,
estlocus1,Syrię,"Nam Latium linquens Syrię deserta petisti,",Syria,Syria,38012,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div6.div1.l23.w4,1115214,
estlocus1,Roma,"Cur sint, Roma, tuis tectis pręlata superbis,",Roma,Roma,38832,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div6.div1.l27.w3,1115317,
estlocus1,Solymis,"Ossa uiri, Solymis defuncti, Roma recępit:",Solymae,Ierusalem/Hierosolyma/Col. Aelia Capitolina ,38012,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div6.div1.l51.w3,1116006,
estlocus1,Roma,"Ossa uiri, Solymis defuncti, Roma recępit:",Roma,Roma,38832,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div6.div1.l51.w5,1116018,
estlocus1,Solymis,Christus nanque mori Solymis elegit et idem,Solymae,Ierusalem/Hierosolyma/Col. Aelia Capitolina ,38013,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div6.div1.l53.w4,1116073,
estlocus1,Romam,Ecclesię Romam pręstitit esse caput.,Roma,Roma,38832,Nč,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div6.div1.l54.w2,1116096,
estlocus1,Olympum,Ergo sydereum merito conscendit Olympum,Olympus,sky (celestial dome),11111,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div6.div2.l21.w5,1116744,Raj je li 11111?*
estlocus3,Insubrum,"Hic postquam Insubrum pręses peruenit ad urbem,",Insubres,Mediolan(i)um,38012,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div6.div2.l9.w3,1116369,
estlocus2,Iulęę,"Pręsul Iulęę fuerat Gregorius urbis,",Iuleus,Roma,38012,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text8.body.div6.div4.l1.w2,1117058,
estlocus4,Thuscos,"Nuper petenti tibi ut Francisci Petrarchę, inter Thuscos poetas facundissimi, de beata Maria matre semper uirgine cantilenam suo uernaculo sermone compositam Latinam facerem, negare non potui, licet enim partim ingenii eruditionisque meę paruitas, partim ipsa uertendi difficultas ab eo me non parum dehortarentur. Sunt quippe linguarum proprietates quędam ita natura comparatę ut multa quę in alio idiomate apte, apposite lepideque dicuntur in aliud conuersa degenerare uideantur atque deficere.",Tuscus,Tuscany (Toscana),12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text9.body.div1.div1.p1.w8,1117540,
estlocus4,Threicio,"Tam cito Threicio cornu uolat acta sagitta,",Threicius,Thracia,00001,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text9.body.div1.div2.l105.w3,1121878,
estlocus1,Arnus,"Immo ex quo genitum ripis tulit Arnus Ethruscis,",Arnus,Arnus (river),12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text9.body.div1.div2.l93.w7,1121530,
estlocus2,Ethruscis,"Immo ex quo genitum ripis tulit Arnus Ethruscis,",Etruscus,Tuscany (Toscana),12214,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text9.body.div1.div2.l93.w8,1121535,
