CITE URN,Latin lemma,Short description,Created by,Created on
urn:cite:croala:latlexent.lex50011.1,Borysthenius,"Adjective describing belonging to the river Borysthenes, now the Dnieper.",http://orcid.org/0000-0002-2135-6343,2016-10-26
urn:cite:croala:latlexent.lex50012.1,Adriacus,Adjective referring to the Adriatic Sea.,http://orcid.org/0000-0002-2135-6343,2016-10-26
urn:cite:croala:latlexent.lex50013.1,Alba,Name of a city in northwestern Romania. Alba Iulia. ,http://orcid.org/0000-0003-1457-7081 ,2016-10-26
urn:cite:croala:latlexent.lex50014.1,Francia,"Name of the land of the Franks, later France.",http://orcid.org/0000-0002-2135-6343,2016-10-26
urn:cite:croala:latlexent.lex50015.1,Assyrii,Name for the Assyrian people.,http://orcid.org/0000-0002-2135-6343,2016-10-26
urn:cite:croala:latlexent.lex50016.1,Rhodopeius,"Adjective describing belonging to Rhodope, a mountain region in Thrace.",http://orcid.org/0000-0001-5515-6545,2016-10-26
urn:cite:croala:latlexent.lex50017.1,Nemeaeus,Adjective describing belonging to Nemea,http://orcid.org/0000-0001-5515-6545,2016-10-26
urn:cite:croala:latlexent.lex50018.1,Idume,Poetic name for a region of Palestine. Idumaea.,http://orcid.org/0000-0002-2135-6343,2016-10-26
urn:cite:croala:latlexent.lex50019.1,Arabs,The name for an Arabian.,http://orcid.org/0000-0002-2135-6343,2016-10-26
urn:cite:croala:latlexent.lex50020.1,Antenoreus,"Adjective describing belonging to Antenor (a noble Trojan) or, in an extended signification, to Padua. Patavian, Paduan.",http://orcid.org/0000-0002-2135-6343,2016-10-26
urn:cite:croala:latlexent.lex50021.1,Gnosiacus,Adjective describing belonging to Knossos (Crete).,http://orcid.org/0000-0001-5515-6545,2016-10-26
urn:cite:croala:latlexent.lex50022.1,Judaeus,Adjective describing belonging to Judea. Jewish.,http://orcid.org/0000-0002-2135-6343,2016-10-26
urn:cite:croala:latlexent.lex50023.1,Jordanis,Name of the principal river of Palestine (Jordan).,http://orcid.org/0000-0002-2135-6343,2016-10-26
urn:cite:croala:latlexent.lex50024.1,Albania,Name of a province in Illyricum. ,http://orcid.org/0000-0003-1457-7081 ,2016-10-26
urn:cite:croala:latlexent.lex50025.1,Albensis,Adjective pertaining to the city of Alba Regia (Székesfehérvár).,http://orcid.org/0000-0003-1457-7081 ,2016-10-26
urn:cite:croala:latlexent.lex50026.1,Albius,"Name of a mountain range in south-central Croatia, Kapela.",http://orcid.org/0000-0003-1457-7081 ,2016-10-26
urn:cite:croala:latlexent.lex50027.1,Alemanus,Name for the inhabitant of Germany. German.,http://orcid.org/0000-0003-1457-7081 ,2016-10-26
urn:cite:croala:latlexent.lex50028.1,Alemanicus,Adjective pertaining to Alemania (Germany). ,http://orcid.org/0000-0003-1457-7081 ,2016-10-26
urn:cite:croala:latlexent.lex50029.1,Perrhebus,Adjective describing belonging to Perrhaebia,http://orcid.org/0000-0001-5515-6545,2016-10-27
urn:cite:croala:latlexent.lex50030.1,Nestus,Name of a river in Thrace.,http://orcid.org/0000-0001-5515-6545,2016-10-27
urn:cite:croala:latlexent.lex50031.1,Alexandria,"Name of a city in Italy, in the region Piedmont. Alessandria.",http://orcid.org/0000-0003-1457-7081 ,2016-10-27
urn:cite:croala:latlexent.lex50032.1,Alexandria,Name of a city in Egypt. ,http://orcid.org/0000-0003-1457-7081 ,2016-10-27
urn:cite:croala:latlexent.lex50033.1,Amasya,"Name of a town in Galatia, modern Turkey. Amisia.",http://orcid.org/0000-0003-1457-7081 ,2016-10-27
urn:cite:croala:latlexent.lex50034.1,Ambracius,"Adjective pertaining to Ambracia, town in Epirus. Ambrachius.",http://orcid.org/0000-0003-1457-7081 ,2016-10-27
urn:cite:croala:latlexent.lex50035.1,Amisia,"Name of a town in Galatia, modern Turkey. Amasya.",http://orcid.org/0000-0003-1457-7081 ,2016-10-27
urn:cite:croala:latlexent.lex50036.1,Amysus,"Name of a town in Galatia, modern Turkey. Amasya.",http://orcid.org/0000-0003-1457-7081 ,2016-10-27
urn:cite:croala:latlexent.lex50037.1,Angira,Name of a town in Turkey. Ankara. ,http://orcid.org/0000-0003-1457-7081 ,2016-10-27
urn:cite:croala:latlexent.lex50038.1,Antibarensis,"Adjective pertaining to the city Bar on the Adriatic coast, in Montenegro. ",http://orcid.org/0000-0003-1457-7081 ,2016-10-27
urn:cite:croala:latlexent.lex50039.1,Aphrica,Name denoting Africa. ,http://orcid.org/0000-0003-1457-7081 ,2016-10-27
urn:cite:croala:latlexent.lex50040.1,Aquilea,Name of a town in northern Italy. ,http://orcid.org/0000-0003-1457-7081 ,2016-10-27
urn:cite:croala:latlexent.lex50041.1,Aquileiensis,Adjective pertaining to Aquileia.,http://orcid.org/0000-0003-1457-7081 ,2016-10-27
urn:cite:croala:latlexent.lex50042.1,Erythraeus,Adjective pertaining to the Erythraean Sea.,http://orcid.org/0000-0002-2135-6343,2016-10-28
urn:cite:croala:latlexent.lex50043.1,Hymettius,"Adjective describing belonging to Hymettus (a mountain near Athens, famed for its honey and its marble).",http://orcid.org/0000-0002-2135-6343,2016-10-28
urn:cite:croala:latlexent.lex50044.1,Cirrhaeus,"Adjective describing belonging to Cirrha (a very ancient town in Phocis, near Delphi, devoted to Apollo).",http://orcid.org/0000-0002-2135-6343,2016-10-28
urn:cite:croala:latlexent.lex50045.1,Hyblaeus,"Adjective describing belonging to Mount Hybla (a mountain of Sicily abounding in flowers and bees, with a city of the same name). (Hyblean)",http://orcid.org/0000-0002-2135-6343,2016-10-28
urn:cite:croala:latlexent.lex50046.1,Idalius,Adjective describing belonging to Idalium (Idalian mountain).,http://orcid.org/0000-0002-2135-6343,2016-10-28
urn:cite:croala:latlexent.lex50047.1,Averna,"Name of a lake near Naples (Avernus), between Baiae and Cumae, in Campania, now Lago d’ Averno. Near it was one of the entrances to Hades; hence, the lower world.",http://orcid.org/0000-0002-2135-6343,2016-10-28
urn:cite:croala:latlexent.lex50048.1,Germania,Name of the country of the Germans (Germany).,http://orcid.org/0000-0002-2135-6343,2016-10-28
urn:cite:croala:latlexent.lex50049.1,Dacicus,Adjective describing belonging to Dacia (Dacian).,http://orcid.org/0000-0002-2135-6343,2016-10-28
urn:cite:croala:latlexent.lex50050.1,Dionaeus,"Adjective pertaining to Dione, mother of Venus (Dionaean).",http://orcid.org/0000-0002-2135-6343,2016-10-28
urn:cite:croala:latlexent.lex50051.1,Bereniceus,Adjective pertaining to Berenice or to a constellation in heaven (Coma or Crinis Berenices).,http://orcid.org/0000-0002-2135-6343,2016-10-28
urn:cite:croala:latlexent.lex50052.1,Ausonius,Adjective describing belonging to Italy (Ausonian; Italian).,http://orcid.org/0000-0002-2135-6343,2016-10-28
urn:cite:croala:latlexent.lex50053.1,Ariminium,"Name of a town in Italy, Ariminum. Rimini.",http://orcid.org/0000-0003-1457-7081 ,2016-10-29
urn:cite:croala:latlexent.lex50054.1,Armenia,"Name for the region between Asia Minor, Persia and Caucasus. ",http://orcid.org/0000-0003-1457-7081 ,2016-10-29
urn:cite:croala:latlexent.lex50055.1,Armoricus,Adjective pertaining to Aremorica. Aremoricus. ,http://orcid.org/0000-0003-1457-7081 ,2016-10-29
urn:cite:croala:latlexent.lex50056.1,Arpispolis,Name of a town in Odessa province in Ukraine. Tatarbunar.,http://orcid.org/0000-0003-1457-7081 ,2016-10-29
urn:cite:croala:latlexent.lex50057.1,Corcyraeus,"Adjective describing belonging to Corcyra, Corcyraean.",http://orcid.org/0000-0002-2135-6343,2016-10-30
urn:cite:croala:latlexent.lex50058.1,Astensis,"Adjective pertaining to Asta, city in Italy (modern Asti).",http://orcid.org/0000-0003-1457-7081 ,2016-10-30
urn:cite:croala:latlexent.lex50059.1,Atria,Name of an Etruscan city in Italy. ,http://orcid.org/0000-0003-1457-7081 ,2016-10-30
urn:cite:croala:latlexent.lex50060.1,Aulon,Name of a city in Albania. Vlorë. ,http://orcid.org/0000-0003-1457-7081 ,2016-10-30
urn:cite:croala:latlexent.lex50061.1,Assyricus,Adjective describing belonging to Assyria.,http://orcid.org/0000-0001-5515-6545,2016-10-31
urn:cite:croala:latlexent.lex50062.1,Syrticus,Adjective describing belonging to Syrtis.,http://orcid.org/0000-0001-5515-6545,2016-10-31
urn:cite:croala:latlexent.lex50063.1,Methymnaeus,Adjective describing belonging to Methymna.,http://orcid.org/0000-0001-5515-6545,2016-10-31
urn:cite:croala:latlexent.lex50064.1,Ephyreus,Adjective describing belonging to Ephyra (Corinth).,http://orcid.org/0000-0001-5515-6545,2016-10-31
urn:cite:croala:latlexent.lex50065.1,Calaber,Adjective describing belonging to Calabria.,http://orcid.org/0000-0001-5515-6545,2016-10-31
urn:cite:croala:latlexent.lex50066.1,Corinthiacus,Adjective describing belonging to Corinth.,http://orcid.org/0000-0001-5515-6545,2016-10-31
urn:cite:croala:latlexent.lex50067.1,Stimphalis,"Adjective describing belonging to Stymphalus, a lake of Arcadia.",http://orcid.org/0000-0001-5515-6545,2016-10-31
urn:cite:croala:latlexent.lex50068.1,Lacinius,Adjective describing belonging to Lacinium where there was a temple dedicated to Juno.,http://orcid.org/0000-0001-5515-6545,2016-10-31
urn:cite:croala:latlexent.lex50069.1,Berecynthius,Adjective describing belonging to the mountain Berecyntus.,http://orcid.org/0000-0001-5515-6545,2016-10-31
urn:cite:croala:latlexent.lex50070.1,Laethe,Name of a river in the underworld.,http://orcid.org/0000-0001-5515-6545,2016-10-31
urn:cite:croala:latlexent.lex50071.1,Tybris,Name of a river in Italy ,http://orcid.org/0000-0001-5515-6545,2016-10-31
urn:cite:croala:latlexent.lex50072.1,Austriacus,Adjective pertaining to Austria. ,http://orcid.org/0000-0003-1457-7081 ,2016-11-01
urn:cite:croala:latlexent.lex50073.1,Babylopolis,Name for a part of the city of Cairo.  ,http://orcid.org/0000-0003-1457-7081 ,2016-11-01
urn:cite:croala:latlexent.lex50074.1,Babylopolitanus,Adjective pertaining to Babylopolis.,http://orcid.org/0000-0003-1457-7081 ,2016-11-01
urn:cite:croala:latlexent.lex50075.1,Bacia,Name of a city in Hungary. Bács.  ,http://orcid.org/0000-0003-1457-7081 ,2016-11-01
urn:cite:croala:latlexent.lex50076.1,Baciensis,Adjective pertaining to Bacia. ,http://orcid.org/0000-0003-1457-7081 ,2016-11-01
urn:cite:croala:latlexent.lex50077.1,Erythra,"A king of southern Asia (Arabia or Persia), after whom the Red Sea, or the Arabian and Persian Gulfs, were named.",http://orcid.org/0000-0002-2135-6343,2016-11-01
urn:cite:croala:latlexent.lex50078.1,Ismarius,"Adjective describing belonging to Ismarus (Ismarian, Thracian).",http://orcid.org/0000-0002-2135-6343,2016-11-01
urn:cite:croala:latlexent.lex50079.1,Caucaseus,Adjective describing belonging to Caucasus (Caucasian).,http://orcid.org/0000-0002-2135-6343,2016-11-01
urn:cite:croala:latlexent.lex50080.1,Illyris,Adjective describing belonging to Illyria (Illyrian).,http://orcid.org/0000-0002-2135-6343,2016-11-01
urn:cite:croala:latlexent.lex50081.1,Antilia,Name for a phantom island that was reputed to lie far to the west of Portugal and Spain.,http://orcid.org/0000-0002-2135-6343,2016-11-01
urn:cite:croala:latlexent.lex50082.1,Cyclopeus,"Adjective describing belonging to the Cyclopes (saxa, in Sicily).",http://orcid.org/0000-0002-2135-6343,2016-11-01
urn:cite:croala:latlexent.lex50083.1,Ituraeus,"Adjective describing belonging to Ituraea, a district of Coelesyria, the inhabitants of which were celebrated as archers (Ituraean).",http://orcid.org/0000-0002-2135-6343,2016-11-02
urn:cite:croala:latlexent.lex50084.1,Assyrius,Adjective describing belonging to Assyria.,http://orcid.org/0000-0002-2135-6343,2016-11-02
urn:cite:croala:latlexent.lex50085.1,Cytheriacus,Adjective describing belonging to Cythera (an island in the Aegean Sea).,http://orcid.org/0000-0002-2135-6343,2016-11-02
urn:cite:croala:latlexent.lex50086.1,Ausonia,"An ancient name of middle and lower Italy; Italy, in general.",http://orcid.org/0000-0002-2135-6343,2016-11-02
urn:cite:croala:latlexent.lex50087.1,Caledonius,"Adjective describing belonging to Caledonia (the province of the ancient Britons, now the Highlands in the northern part of Scotland).",http://orcid.org/0000-0002-2135-6343,2016-11-02
urn:cite:croala:latlexent.lex50088.1,Colchiacus,"Adjective describing belonging to Colchics (a province in Asia, east of the Black Sea).",http://orcid.org/0000-0002-2135-6343,2016-11-02
urn:cite:croala:latlexent.lex50089.1,Flamminia,Name of an ancient Roman road (Via Flaminia).,http://orcid.org/0000-0002-2135-6343,2016-11-02
urn:cite:croala:latlexent.lex50090.1,Hebraeus,"Adjective describing belonging to the Hebrews, Hebrew.",http://orcid.org/0000-0002-2135-6343,2016-11-03
urn:cite:croala:latlexent.lex50091.1,Heliconius,"Adjective describing belonging to Helicon, Heliconian.",http://orcid.org/0000-0002-2135-6343,2016-11-03
urn:cite:croala:latlexent.lex50092.1,Appius,Adjective describing belonging to Via Appia (the Appian Way).,http://orcid.org/0000-0002-2135-6343,2016-11-03
urn:cite:croala:latlexent.lex50093.1,Flaminius,Adjective describing belonging to Via Flaminia (the Flaminian Way).,http://orcid.org/0000-0002-2135-6343,2016-11-03
urn:cite:croala:latlexent.lex50094.1,Cimmerius,Adjective describing belonging to Cimmeria.,http://orcid.org/0000-0002-2135-6343,2016-11-03
urn:cite:croala:latlexent.lex50095.1,Cretaeus,"Adjective describing belonging to Crete, Cretan.",http://orcid.org/0000-0002-2135-6343,2016-11-03
urn:cite:croala:latlexent.lex50096.1,Ausonis,Adjective describing belonging to Ausonia.,http://orcid.org/0000-0002-2135-6343,2016-11-03
urn:cite:croala:latlexent.lex50097.1,Chaonis,Adjective describing belonging to the Chaonians.,http://orcid.org/0000-0002-2135-6343,2016-11-03
urn:cite:croala:latlexent.lex50098.1,Achelous,Adjective describing belonging to the river Achelous.,http://orcid.org/0000-0002-2135-6343,2016-11-03
urn:cite:croala:latlexent.lex50099.1,Byzantius,Adjective describing belonging to Byzantium.,http://orcid.org/0000-0002-2135-6343,2016-11-03
urn:cite:croala:latlexent.lex50100.1,Balearis,Adjective describing belonging to the Balearic Islands.,http://orcid.org/0000-0002-2135-6343,2016-11-03
urn:cite:croala:latlexent.lex50101.1,Pylius,Adjective describing belonging to Pylos,http://orcid.org/0000-0001-5515-6545,2016-11-03
urn:cite:croala:latlexent.lex50102.1,Taenarum,Name of a promontory and town in Laconia,http://orcid.org/0000-0001-5515-6545,2016-11-03
urn:cite:croala:latlexent.lex50103.1,Ceraunia,"Name of a ridge of mountains in Epirus, on the borders of Grecian Illyria.",http://orcid.org/0000-0002-2135-6343,2016-11-04
urn:cite:croala:latlexent.lex50104.1,Cyrenae,Name of the chief town of a province of the same name in Libya.,http://orcid.org/0000-0002-2135-6343,2016-11-04
urn:cite:croala:latlexent.lex50105.1,Oeteus,Adjective describing belonging to Mt. Oeta,http://orcid.org/0000-0001-5515-6545,2016-11-09

urn:cite:croala:latlexent.lex50240,AMADOCENUS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50222,AURELIENSIS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50212,BALATHON,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50248,BARICIUM,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50229,BARLETUM,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50162,BELGICUS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50249,BELGRADUM,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50239,BERESINA,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50237,BIZANTIUM,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50202,BOHEMICUS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50225,BOIANA,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50211,BOSPHORUS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50218,BOSSINATES,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50174,BOSSINENSIS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50223,BRITHONES,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50235,BRIXIANUS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50118,BUDENSIS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50217,BURNUM,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50234,CAMERACENSIS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50215,CANADIENSIS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50114,CARNICUS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50246,CAËRENSIS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50241,CAËRIUM,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50128,CHORUATI,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50166,CIRCUMISTRANUS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50107,COLOCIENSES,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50137,CONSTANTINOPOLITANUS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50117,DACIA,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50139,EUROPEUS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50179,FEDUARENSIS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50183,FEUDARENSIS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50113,HUNGARICUS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50109,HUNGARUS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50171,HUNNA,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50135,MOESIA,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50125,MOLDOVII,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50144,MOSCOVIA,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50124,NORICI,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50147,PANNONICUS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50108,PANNONII,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50181,PELUSIENSIS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50110,POLONI,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50156,POLONICUS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50121,RHACOSIUS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50145,RHACUSANUS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50140,RHAXANI,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50130,RHAXIANI,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50143,RHIPHAEUS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50158,SARMATAE,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50160,SARMATICUS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50129,SCLAVENI,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50169,SEPUSIENSIS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50115,STRIGONIENSIS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50106,DOMNIUS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50146,TRANSILVANUS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50116,TRANSISTRANUS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50185,TRIBUNIENSES,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50126,VALACHI,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50204,VARADINENSIS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50177,VARANENSIS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50187,VERANENSIS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
urn:cite:croala:latlexent.lex50196,VISEGRADIENSIS,TBA,http://orcid.org/0000-0002-9119-399X,2016-12-03
