estLocus,Nomen,Textus,LEMMA,LOCI CITE URN,ANNOTATOR INITIALS,CTS URN,SEQUENCE,,,,,,,,,,,,,,,,,
estlocus4,Eoae,"Qui tamen Eoae gemmas immiscuit algae ,",Eous,45300.0,NJ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div1.l121.w3,4690.0,,,,,,,,,,,,,,,,,
estlocus4,Idumeis,"Spirat Idumeis nardus amoena rubis ,",Idumaeus,45301.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div1.l142.w2,5349.0,,,,,,,,,,,,,,,,,
estlocus3,Ditis,"Te , lucemque tuam tremit Orcus et intima Ditis",Dis,50633.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div1.l159.w8,5896.0,,,,,,,,,,,,,,,,,
estlocus2,Eoo,Quid dicam Eoo uenerandis littore cunis,Eous,45300.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div1.l191.w3,6892.0,,,,,,,,,,,,,,,,,
estlocus1,Bactra,Memnonias liquere domos atque ultima Bactra,Bactra,45302.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div1.l195.w6,7020.0,,,,,,,,,,,,,,,,,
estlocus1,Aurorae,"Et procul Aurorae ditia regna suae ,",aurora,45303.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div1.l196.w3,7036.0,,,,,,,,,,,,,,,,,
estlocus2,Bethlemica,Vtque recognoscunt Bethlemica culmina tantum,Bethleemicus,45304.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div1.l207.w3,7347.0,,,,,,,,,,,,,,,,,
estlocus1,Idumeos,"Iam per Idumeos iter irreuocabile tendunt ,",Idumaeus,45301.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div1.l211.w3,7451.0,,,,,,,,,,,,,,,,,
estlocus2,Idaei,"Idaei tibi ficta Iouis cunabula cedant ,",Idaeus,50646.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div1.l241.w1,8426.0,,,,,,,,,,,,,,,,,
estlocus1,Iordanem,"Iordanem , loto sacra fluenta Deo ?",Jordanes,45305.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div1.l264.w1,9214.0,,,,,,,,,,,,,,,,,
estlocus4,Archtois,Dira uel Archtois piscibus esca natant ;,arctous,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div2.l104.w3,13197.0,,,,,,,,,,,,,,,,,
estlocus1,Ister,Ister anhelantes decolor auxit aquas .,Ister,50653.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div2.l106.w1,13245.0,,,,,,,,,,,,,,,,,
estlocus1,Istrum,Inferiisque suis populatum mitiget Istrum,Ister,50653.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div2.l113.w5,13469.0,,,,,,,,,,,,,,,,,
estlocus2,Echioniis,Aut quod Echioniis uix fas est credere Thebis :,Echionius,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div2.l119.w3,13640.0,,,,,,,,,,,,,,,,,
estlocus1,Buda,"Non igitur proauos te sospite Buda requirat ,",Buda,30189.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div2.l63.w6,11919.0,,,,,,,,,,,,,,,,,
estlocus2,Boemo,Quae merito crines regno sociata Boemo,Bohaemus,50557.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div2.l71.w6,12190.0,,,,,,,,,,,,,,,,,
estlocus2,Illyrico,"Gaudet in Illyrico littore Roma loqui ,",Illyricus,36788.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div2.l8.w3,10048.0,,,,,,,,,,,,,,,,,
estlocus1,Arctos,"Iure tuis igitur sociabilis Arctos habenis ,",Arctos,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div2.l81.w5,12498.0,,,,,,,,,,,,,,,,,
estlocus1,Ister,Te septemgeminis Ister adorat aquis ;,Ister,50653.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div2.l86.w3,12654.0,,,,,,,,,,,,,,,,,
estlocus2,Borystenii,"Teque Borystenii latices uenerantur et Albis ,",Borysthenius,45306.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div2.l87.w2,12678.0,,,,,,,,,,,,,,,,,
estlocus3,Hunnos,Sic uastare Hunnos et desolare profectus,Hunni,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div2.l95.w3,12937.0,,,,,,,,,,,,,,,,,
estlocus1,Adria,"Sed ne , interiectis tot molibus , Adria clausus",Adria,35575.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div20.l5.w6,33797.0,,,,,,,,,,,,,,,,,
estlocus2,Adriacas,"Adriacas tendat proximus horror aquas ,",Adriacus,35575.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div21.l2.w1,33967.0,,,,,,,,,,,,,,,,,
estlocus3,Gallorum,3 . Ad regem Gallorum,Galli,38545.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.head.w4,15566.0,,,,,,,,,,,,,,,,,
estlocus1,Alpes,"Inuictus quid enim ? uix Alpes scandis , et ecce",Alpes,45308.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l11.w5,15942.0,,,,,,,,,,,,,,,,,
estlocus1,Italiae,Obuia deditio totius Italiae !,Italia,4240.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l12.w4,15978.0,,,,,,,,,,,,,,,,,
estlocus4,Eoas,Rursus ad Eoas continuata domos .,Eous,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l26.w3,16441.0,,,,,,,,,,,,,,,,,
estlocus4,Eois,Et sese Eois petit integrare triumphis :,Eous,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l31.w3,16601.0,,,,,,,,,,,,,,,,,
estlocus1,Italiaeque,"Italiaeque tibi propioribus inuidet oris ,",Italia,4240.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l35.w1,16737.0,,,,,,,,,,,,,,,,,
estlocus2,Adriaci,"Parua uel Adriaci deuouet ora freti ,",Adriacus,35575.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l36.w3,16773.0,,,,,,,,,,,,,,,,,
estlocus1,Francia,Vt pedes oppositas Francia calcet aquas .,Francia,38545.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l40.w4,16913.0,,,,,,,,,,,,,,,,,
estlocus3,Gallos,"Trans freta nanque simul Gallos spectare licebit ,",Galli,38545.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l41.w5,16949.0,,,,,,,,,,,,,,,,,
estlocus2,Illyriae,"Illyriae tellus reparabitur , obruta surget",Illyria,36788.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l47.w1,17153.0,,,,,,,,,,,,,,,,,
estlocus1,Graecia,Et redimet uultus Graecia tota suos .,Graecia,38553.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l48.w4,17193.0,,,,,,,,,,,,,,,,,
estlocus1,Epidaurus,Nec mea pendendis Epidaurus moesta tributis,Epidaurus,45308.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l49.w4,17225.0,,,,,,,,,,,,,,,,,
estlocus2,Eoae,"Vrbis et Eoae lacerata potentia surget ,",Eous,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l53.w3,17337.0,,,,,,,,,,,,,,,,,
estlocus1,Asia,"Aequalesque dabunt Asia atque Europa triumphos ,",Asia,38242.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l57.w3,17457.0,,,,,,,,,,,,,,,,,
estlocus1,Europa,"Aequalesque dabunt Asia atque Europa triumphos ,",Europa,26446.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l57.w5,17465.0,,,,,,,,,,,,,,,,,
estlocus3,Assyriosque,"Assyriosque ultra tendes , Garabacthra , uel Indos ,",Assyrii,50610.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l65.w1,17697.0,,,,,,,,,,,,,,,,,
estlocus3,Indos,"Assyriosque ultra tendes , Garabacthra , uel Indos ,",Indi,38540.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l65.w6,17725.0,,,,,,,,,,,,,,,,,
estlocus1,Francia,"Per maria et terras Francia uecta suas ,",Francia,38545.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l72.w5,17948.0,,,,,,,,,,,,,,,,,
estlocus1,Idume,"Victricemque piam palmis ornabit Idume ,",Idume,45301.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l73.w5,17984.0,,,,,,,,,,,,,,,,,
estlocus1,Canopo,"Nec ueneranda fero regnabitur ora Canopo ,",Canopus,45309.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l79.w6,18152.0,,,,,,,,,,,,,,,,,
estlocus1,Francia,Francia ; coniurant terra polusque simul .,Francia,38545.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l8.w1,15822.0,,,,,,,,,,,,,,,,,
estlocus1,Iordanis,"Iordanis , loto mystica lympha Deo .",Jordanis,45305.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l84.w1,18272.0,,,,,,,,,,,,,,,,,
estlocus1,Euphrates,"Tigris et Euphrates sacrabitur , Indus , Hidaspes ,",Euphrates,38573.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l85.w3,18312.0,,,,,,,,,,,,,,,,,
estlocus1,Indus,"Tigris et Euphrates sacrabitur , Indus , Hidaspes ,",Indus,38541.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l85.w5,18324.0,,,,,,,,,,,,,,,,,
estlocus1,Hidaspes,"Tigris et Euphrates sacrabitur , Indus , Hidaspes ,",Hydaspes,45310.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l85.w6,18332.0,,,,,,,,,,,,,,,,,
estlocus1,Araxes,"Inque pios latices uerti exultabit Araxes ,",Araxes,45311.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l87.w6,18392.0,,,,,,,,,,,,,,,,,
estlocus3,Arabs,"Thrax , Scytha , Maurus , Arabs , concors ditione sub una ,",Arabs,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div3.l99.w4,18861.0,,,,,,,,,,,,,,,,,
estlocus2,Hetruscis,"Tybris et Hetruscis Ilia mater aquis ,",Etruscus,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div4.l16.w3,19498.0,,,,,,,,,,,,,,,,,
estlocus2,Antenoreo,Siue Antenoreo genitrix Aquileia Timauo,Antenoreus,4158.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div4.l17.w2,19526.0,,,,,,,,,,,,,,,,,
estlocus1,Aquileia,Siue Antenoreo genitrix Aquileia Timauo,Aquileia,45312.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div4.l17.w4,19534.0,,,,,,,,,,,,,,,,,
estlocus2,Ionio,Turpiter Ionio lintea mille mari .,Ionius,45313.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div4.l76.w2,21460.0,,,,,,,,,,,,,,,,,
estlocus1,Florentiam,5 . Ad Florentiam postulantem leuam Sancti Ioannis,Florentia,38539.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div5.head.w3,21706.0,,,,,,,,,,,,,,,,,
estlocus3,Aegypthusne,Aegypthusne canes et sua monstra daret ?,Aegyptus,67946.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div5.l46.w1,23289.0,,,,,,,,,,,,,,,,,
estlocus1,Florentia,"Tu uero poscis , quam nos , Florentia , sacram",Florentia,38539.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div5.l47.w6,23349.0,,,,,,,,,,,,,,,,,
estlocus1,Florentia,"Quam , rogo , quam leuam poscit Florentia ? Vel si",Florentia,38539.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div5.l5.w6,21906.0,,,,,,,,,,,,,,,,,
estlocus2,Itala,Accedet nostris Itala terra malis .,Italus,4240.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div5.l88.w3,24860.0,,,,,,,,,,,,,,,,,
estlocus1,Ister,Sat coniuratus Tanais peccauit et Ister,Ister,50653.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div5.l93.w6,25044.0,,,,,,,,,,,,,,,,,
estlocus4,Bandala,"Bandala sat tulimus Sarranaque saecula , Romae",LEMMA,,ANNOTATOR,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div5.l95.w1,25080.0,,,,,,,,,,,,,,,,,
estlocus4,Iudaea,Aut alios latices quam gens Iudaea propinat,Judaeus,38576.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div2.div2.l10.w6,38731.0,,,,,,,,,,,,,,,,,
estlocus1,Iordanis,"Crimina , Iordanis refluo conuersa refluxit",Jordanis,45305.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div2.div2.l114.w2,42251.0,,,,,,,,,,,,,,,,,
estlocus4,Iudaea,"Hunc , gentes , audite ! Tamen , Iudaea propago ,",Judaeus,38576.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div2.div2.l117.w5,42390.0,,,,,,,,,,,,,,,,,
estlocus2,Erythraei,Rursus Erythraei diuisa per aequora ponti,Erythraeus,38563.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div2.div2.l128.w2,42746.0,,,,,,,,,,,,,,,,,
estlocus4,Hymetia,Et Siculum nectar praestant et Hymetia mella .,Hymettius,45314.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div2.div2.l16.w6,38934.0,,,,,,,,,,,,,,,,,
estlocus4,Herebus,Aut Herebus uasta caligine teter opacet .,Erebus,50636.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div2.div2.l167.w2,44185.0,,,,,,,,,,,,,,,,,
estlocus4,Falerna,"Vina Falerna solent , circumfluit ubere pleno",Falernus,45315.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div2.div2.l207.w2,45464.0,,,,,,,,,,,,,,,,,
estlocus2,Cyrrhaeo,"Flumina , nec fragiles Cyrrhaeo e uertice laurus ,",Cirrhaeus,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div2.div2.l5.w4,38547.0,,,,,,,,,,,,,,,,,
estlocus4,Iudaea,"Gens Iudaea ferox , immanior omnibus una",Judaeus,38576.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div2.div2.l60.w2,40451.0,,,,,,,,,,,,,,,,,
estlocus1,Iordanis,"Teque Iordanis sacer irrigauit ,",Jordanis,45305.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div2.div3.l3.w2,51216.0,,,,,,,,,,,,,,,,,
estlocus1,Acherontis,"Hostium uictrix , Acherontis horror ,",Acheron,50602.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div2.div3.l57.w3,52398.0,,,,,,,,,,,,,,,,,
estlocus4,Acheloia,"Num si Trinacrias , Acheloia monstra , uolucres",Acheloius,38525.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div2.div6.l104.w4,67645.0,,,,,,,,,,,,,,,,,
estlocus4,Acheloia,"Quando aliter tetras , Acheloia monstra , uolucres",Acheloius,38525.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div2.div7.l14.w4,68826.0,,,,,,,,,,,,,,,,,
estlocus2,Aethnaeis,"Effugis , Aethnaeis scopulis saxoque Sicano",Aetnaeus,50604.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div2.div7.l18.w2,68946.0,,,,,,,,,,,,,,,,,
estlocus4,Hyblaeisque,"Dulcior Hyblaeisque fauis fluat , illa dolores",Hyblaeus,38599.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div2.div7.l65.w2,70468.0,,,,,,,,,,,,,,,,,
estlocus2,Idalii,"Idalii nec si detur noua copia luci ,",Idalius,50648.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div1.l105.w1,75932.0,,,,,,,,,,,,,,,,,
estlocus1,Ancon,Hinc tibi nec priscis ingloria laudibus Ancon,Ancon,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div1.l109.w7,76084.0,,,,,,,,,,,,,,,,,
estlocus1,Appeninus,"Transmittitque tuos glaciem Appeninus in usus ,",Apenninus,45316.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div1.l113.w4,76192.0,,,,,,,,,,,,,,,,,
estlocus1,Adria,Lasciuire suis Adria gaudet aquis .,Adria,35575.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div1.l116.w3,76292.0,,,,,,,,,,,,,,,,,
estlocus4,Boreas,"Haec loca foecundat Boreas , sed collis et Auster",boreas,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div1.l33.w4,73677.0,,,,,,,,,,,,,,,,,
estlocus4,Auster,"Haec loca foecundat Boreas , sed collis et Auster",auster,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div1.l33.w8,73697.0,,,,,,,,,,,,,,,,,
estlocus1,Auerna,"Noxia pestiferum uirus Auerna uomunt ,",Averna,50614.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div1.l52.w4,74314.0,,,,,,,,,,,,,,,,,
estlocus1,Europam,"Europam atque Asiam iactitet ille licet ,",Europa,26446.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div10.l18.w1,89065.0,,,,,,,,,,,,,,,,,
estlocus1,Asiam,"Europam atque Asiam iactitet ille licet ,",Asia,38242.0,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div10.l18.w3,89073.0,,,,,,,,,,,,,,,,,
estlocus1,Germania,"Nam , uelut inuictis tribuit Germania Drusis ,",Germania,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div10.l5.w5,88630.0,,,,,,,,,,,,,,,,,
estlocus2,Dacica,"Victori aut nomen Dacica terra suo ,",Dacicus,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div10.l6.w4,88658.0,,,,,,,,,,,,,,,,,
estlocus3,Affrica,"Aut sua Scipiadae dedit Affrica , Creta Metello ,",Africa,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div10.l7.w5,88694.0,,,,,,,,,,,,,,,,,
estlocus1,Creta,"Aut sua Scipiadae dedit Affrica , Creta Metello ,",Creta,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div10.l7.w6,88702.0,,,,,,,,,,,,,,,,,
estlocus2,Haesperia,"Siue haec Haesperia est , siue Arctica stella uicissim ,",Hesperius,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div11.l27.w3,90106.0,,,,,,,,,,,,,,,,,
estlocus2,Arctica,"Siue haec Haesperia est , siue Arctica stella uicissim ,",arcticus,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div11.l27.w6,90122.0,,,,,,,,,,,,,,,,,
estlocus4,Dictaeum,"Qualia Dictaeum malit habere genus ,",Dictaeus,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div11.l32.w2,90286.0,,,,,,,,,,,,,,,,,
estlocus2,Dionaeo,"Atque Dionaeo multum praefulgurat astro ,",Dionaeus,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div11.l33.w2,90314.0,,,,,,,,,,,,,,,,,
estlocus4,Berenicaea,Et Berenicaea clarior illa coma est .,Bereniceus,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div11.l34.w2,90342.0,,,,,,,,,,,,,,,,,
estlocus1,Ferraria,"Praecipue intonsos uellit Ferraria crines ,",Ferraria,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div11.l5.w4,89395.0,,,,,,,,,,,,,,,,,
estlocus1,Arctos,Hesperus atque Arctos hanc meruere ducem .,Arctos,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div12.l4.w3,90627.0,,,,,,,,,,,,,,,,,
estlocus2,Arctoae,"Nam primum Arctoae censetur origine stellae ,",arctous,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div12.l5.w3,90659.0,,,,,,,,,,,,,,,,,
estlocus4,Hesperii,Sed mox Hesperii sanguinis illa fuit .,Hesperius,,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div3.div12.l6.w3,90691.0,,,,,,,,,,,,,,,,,
